,Created At,Text,Geo Coordinates.latitude,Geo Coordinates.longitude,User Location,Username,User Screen Name,Retweet Count,Classificacao,Observação,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
4,Mon Jan 09 15:08:21 +0000 2017,��� PSOL vai questionar aumento de vereadores e prefeito de BH na Justiça - Politica - Estado de Minas https://t.co/DMg7BGsek5,,,,Emily,Milly777,0,Negativo,,,,,,,,,,,,,,,,
8,Wed Jan 04 22:55:08 +0000 2017,"""BB e governo de Minas travam disputa sobre depósitos judiciais"" https://t.co/CnMu2A2Qo5",,,,Minas Previ,MinasPrevi,0,Negativo,,,,,,,,,,,,,,,,
12,Mon Jan 09 16:06:23 +0000 2017,"""erro desconhecido"" é mato! Aliás, é da secretaria estadual de fazenda que tá assim... MG não precisa de dinheiro não, Governador?",,,"Santo Antônio do Monte, Brasil",Roberta de Oliveira,betavox,0,Negativo,,,,,,,,,,,,,,,,
16,Thu Jan 05 03:26:49 +0000 2017,"""Mesmo sem muito dinheiro no caixa o governo de Minas Gerais compra 2 (DOIS) helicópteros."" Dois... Helicópteros... Minas Gerais... #2017 s1",,,,Gê de Alcaniz,Gdealcaniz,0,Negativo,,,,,,,,,,,,,,,,
25,Thu Jan 05 15:37:13 +0000 2017,"""uso de aeronave pertencente ao  Estado de MG, em domingo, p/ fins pessoais,  em claro desvio de finalidade"" - https://t.co/WEfv5iLyju",,,Fortaleza -  Ceará - Brasil ,Vitor.R.,vitorr82,0,Negativo,,,,,,,,,,,,,,,,
29,Thu Jan 05 21:12:11 +0000 2017,#Alerta - Nome da CEEE é utilizado em golpe no Estado. https://t.co/i5ndsWhXR4 https://t.co/yaEM6s3Z2f,,,Pelotas (RS),Diário Popular,diariopopularRS,4,Negativo,,,,,,,,,,,,,,,,
43,Wed Jan 04 19:37:11 +0000 2017,#beta #betalab #mg Governo em calamidade financeira: BB avisa Justiça que Minas não tem… https://t.co/CdXt0cvcuY… https://t.co/s8un5iFnQS,,,,Guilherme # Beta,guilhermecorde,0,Negativo,,,,,,,,,,,,,,,,
72,Thu Jan 05 21:45:55 +0000 2017,#i5gornascimento @i5gornascimento g1 Prefeito de Aimorés decreta estado de emergência administrativa https://t.co/0Jh7ARbSnk,,,,Steffani Prudencio,SteffaniPruden1,0,Negativo,,,,,,,,,,,,,,,,
93,Thu Jan 05 20:24:35 +0000 2017,"#noticiasdorenan Em calamidade financeira, governo de MG compra dois helicópteros: O… https://t.co/oW6G9hElta",,,"Varginha, Brasil",Notícias do Renan,renanlenzivga,0,Negativo,,,,,,,,,,,,,,,,
95,Thu Jan 05 10:16:54 +0000 2017,#noticiasdorenan Uso de depósitos judiciais pelo governo tem nova polêmica em MG: O Banco… https://t.co/kHuZpKQaj5,,,"Varginha, Brasil",Notícias do Renan,renanlenzivga,0,Negativo,,,,,,,,,,,,,,,,
